,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",How often do you go to Clifton beach?,What are your top motivations for going to Clifton Beach? You can select up to 3,Which one of the following statements apply to you?,How do you feel regarding the caretaking and evolution of Clifton beach?
192,130,25 - 44 years,Male,"Up to 25,000 rupees",Korangi,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
193,130dup,25 - 44 years,Male,"Up to 25,000 rupees",Korangi,,"Activity (exercising, sports, running, etc)",,
194,131,15 - 24 years,Female,"25,001 - 50,000 rupees",New Karachi Town,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
195,132,25 - 44 years,Female,Prefer not to answer,Outside Karachi,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
196,133,25 - 44 years,Male,"25,001 - 50,000 rupees",Outside Karachi,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
197,134,25 - 44 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
198,135,25 - 44 years,Male,"25,001 - 50,000 rupees",Korangi,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
199,136,15 - 24 years,Male,"25,001 - 50,000 rupees",Shah Faisal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
200,136dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Shah Faisal,,"Activity (exercising, sports, running, etc)",,
201,137,15 - 24 years,Male,"25,001 - 50,000 rupees",Shah Faisal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
202,137dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Shah Faisal,,"Activity (exercising, sports, running, etc)",,
203,138,15 - 24 years,Male,"25,001 - 50,000 rupees",Shah Faisal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
204,138dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Shah Faisal,,"Activity (exercising, sports, running, etc)",,
205,139,15 - 24 years,Female,Prefer not to answer,Sindh Industrial Trading Estate (SITE),Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
206,139dup,15 - 24 years,Female,Prefer not to answer,Sindh Industrial Trading Estate (SITE),,"Activity (exercising, sports, running, etc)",,
207,139dup,15 - 24 years,Female,Prefer not to answer,Sindh Industrial Trading Estate (SITE),,"Commerce (for work, for shopping, for restaurants, etc)",,
208,140,25 - 44 years,Male,"Up to 25,000 rupees",Korangi,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
209,140dup,25 - 44 years,Male,"Up to 25,000 rupees",Korangi,,"Activity (exercising, sports, running, etc)",,
210,141,25 - 44 years,Male,"25,001 - 50,000 rupees",Korangi Creek Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
211,142,25 - 44 years,Male,Prefer not to answer,Nazimabad,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
212,142dup,25 - 44 years,Male,Prefer not to answer,Nazimabad,,"Activity (exercising, sports, running, etc)",,
213,143,25 - 44 years,Female,"50,001 - 75,000 rupees",Model Colony,Not often (few times in many years),"Relief (from climate, from stresses, etc)",,
214,144,15 - 24 years,Male,"25,001 - 50,000 rupees",Korangi,Often (multiple times in a year),"Commerce (for work, for shopping, for restaurants, etc)",,
215,145,25 - 44 years,Male,"25,001 - 50,000 rupees",Korangi,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
216,146,25 - 44 years,Female,Prefer not to answer,Malir Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
217,147,45 years and above,Male,"125,001 - 150,000 rupees",Jamshed Quarters,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
218,148,45 years and above,Male,"25,001 - 50,000 rupees",Landhi,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
219,149,25 - 44 years,Female,"25,001 - 50,000 rupees",Outside Karachi,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
220,149dup,25 - 44 years,Female,"25,001 - 50,000 rupees",Outside Karachi,,"Commerce (for work, for shopping, for restaurants, etc)",,
221,150,25 - 44 years,Female,"Up to 25,000 rupees",Korangi,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
222,150dup,25 - 44 years,Female,"Up to 25,000 rupees",Korangi,,"Commerce (for work, for shopping, for restaurants, etc)",,
223,151,25 - 44 years,Male,"25,001 - 50,000 rupees",Orangi,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
224,152,25 - 44 years,Male,Prefer not to answer,Nazimabad,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",,
225,153,45 years and above,Male,"50,001 - 75,000 rupees",Shah Faisal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
226,154,25 - 44 years,Female,"25,001 - 50,000 rupees",Landhi,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
227,154dup,25 - 44 years,Female,"25,001 - 50,000 rupees",Landhi,,"Commerce (for work, for shopping, for restaurants, etc)",,
228,155,15 - 24 years,Female,"25,001 - 50,000 rupees",Malir Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
229,156,45 years and above,Female,"50,001 - 75,000 rupees",Malir Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
230,157,25 - 44 years,Female,Prefer not to answer,Gulberg,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
231,157dup,25 - 44 years,Female,Prefer not to answer,Gulberg,,"Commerce (for work, for shopping, for restaurants, etc)",,
232,158,25 - 44 years,Male,Prefer not to answer,Liaquatabad,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
233,159,25 - 44 years,Male,"25,001 - 50,000 rupees",Faisal Cantonment,Often (multiple times in a year),"Activity (exercising, sports, running, etc)",,
234,160,25 - 44 years,Female,"50,001 - 75,000 rupees",Malir Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
235,160dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Malir Cantonment,,"Activity (exercising, sports, running, etc)",,
236,160dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Malir Cantonment,,"Commerce (for work, for shopping, for restaurants, etc)",,
237,161,25 - 44 years,Male,"25,001 - 50,000 rupees",Malir Cantonment,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",,
238,162,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,Frequently (multiple times a month),"Activity (exercising, sports, running, etc)",,
239,163,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
240,164,25 - 44 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
241,165,15 - 24 years,Male,"Up to 25,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
242,166,25 - 44 years,Male,"Up to 25,000 rupees",Korangi,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
243,167,25 - 44 years,Male,"25,001 - 50,000 rupees",Orangi,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
244,168,25 - 44 years,Female,Prefer not to answer,Korangi,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
245,168dup,25 - 44 years,Female,Prefer not to answer,Korangi,,"Activity (exercising, sports, running, etc)",,
246,169,25 - 44 years,Male,"25,001 - 50,000 rupees",Korangi,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
247,170,25 - 44 years,Male,Prefer not to answer,Korangi,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
248,170dup,25 - 44 years,Male,Prefer not to answer,Korangi,,"Activity (exercising, sports, running, etc)",,
249,171,15 - 24 years,Female,Prefer not to answer,Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
250,172,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
251,173,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
252,174,15 - 24 years,Male,"125,001 - 150,000 rupees",Garden,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
253,175,Below 15 years,Female,,Saddar,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
254,176,Below 15 years,Female,,Gulshan-e-Iqbal,I have never been to Clifton beach,"Leisure (walking, being with loved ones, etc)",,
255,177,Below 15 years,Female,,Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
256,178,Below 15 years,Female,,Karachi Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
257,179,Below 15 years,Female,,Garden,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
258,179dup,Below 15 years,Female,,Garden,,Tourism,,
259,180,Below 15 years,Female,,Garden,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
260,180dup,Below 15 years,Female,,Garden,,Tourism,,
261,181,Below 15 years,Female,,Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
262,181dup,Below 15 years,Female,,Gulshan-e-Iqbal,,"Celebrating/Khushi ya tehwaar mananay (personal milestones, special occasions, etc)",,
263,181dup,Below 15 years,Female,,Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
264,182,Below 15 years,Female,,Jamshed Quarters,Not often - I prefer other beaches,Most accessible (public beach closest to urban Karachi),,
265,183,Below 15 years,Female,,Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
266,183dup,Below 15 years,Female,,Gulshan-e-Iqbal,,"Activity (exercising, sports, running, etc)",,
267,183dup,Below 15 years,Female,,Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
268,184,Below 15 years,Female,,Garden,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
269,184dup,Below 15 years,Female,,Garden,,Most accessible (public beach closest to urban Karachi),,
270,184dup,Below 15 years,Female,,Garden,,"Relief (from climate, from stresses, etc)",,
271,185,Below 15 years,Female,,Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
272,185dup,Below 15 years,Female,,Gulshan-e-Iqbal,,"Celebrating (personal milestones, special occasions, etc)",,
273,185dup,Below 15 years,Female,,Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
274,186,Below 15 years,Female,,Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
275,187,Below 15 years,Female,,Jamshed Quarters,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
276,188,Below 15 years,Female,,Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
277,188dup,Below 15 years,Female,,Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
278,189,Below 15 years,Female,,Garden,I have never been to Clifton beach,,,
279,190,Below 15 years,Female,,Gulshan-e-Iqbal,Not often (few times in many years),"Activity (exercising, sports, running, etc)",,
280,190dup,Below 15 years,Female,,Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
281,191,Below 15 years,Female,,Liaquatabad,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
282,191dup,Below 15 years,Female,,Liaquatabad,,"Relief (from climate, from stresses, etc)",,
283,192,Below 15 years,Female,,Liaquatabad,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
284,192dup,Below 15 years,Female,,Liaquatabad,,"Relief (from climate, from stresses, etc)",,
285,193,Below 15 years,Female,,Gulshan-e-Iqbal,Frequently (multiple times a month),"Activity (exercising, sports, running, etc)",,
286,194,Below 15 years,Female,,New Karachi Town,Often (multiple times in a year),"Activity (exercising, sports, running, etc)",,
287,195,Below 15 years,Female,,Garden,Often (multiple times in a year),"Activity (exercising, sports, running, etc)",,
288,195dup,Below 15 years,Female,,Garden,,"Relief (from climate, from stresses, etc)",,
289,196,Below 15 years,Female,,Garden,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
290,196dup,Below 15 years,Female,,Garden,,"Celebrating (personal milestones, special occasions, etc)",,
291,197,Below 15 years,Female,,Jamshed Quarters,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
292,197dup,Below 15 years,Female,,Jamshed Quarters,,Tourism,,
293,198,Below 15 years,Female,,Gadap,Not often (few times in many years),"Activity (exercising, sports, running, etc)",,
294,198dup,Below 15 years,Female,,Gadap,,"Celebrating (personal milestones, special occasions, etc)",,
295,198dup,Below 15 years,Female,,Gadap,,Special events held in the vicinity,,
296,199,Below 15 years,Female,,Jamshed Quarters,Often (multiple times in a year),"Celebrating (personal milestones, special occasions, etc)",,
297,200,Below 15 years,Female,,Korangi,I have never been to Clifton beach,"Celebrating (personal milestones, special occasions, etc)",,
298,201,Below 15 years,Female,,Gulshan-e-Iqbal,I have never been to Clifton beach,,,
299,202,Below 15 years,Female,,Garden,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
300,203,Below 15 years,Female,,Garden,Not often (few times in many years),"Celebrating (personal milestones, special occasions, etc)",,
301,204,Below 15 years,Female,,Garden,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
302,204dup,Below 15 years,Female,,Garden,,"Relief (from climate, from stresses, etc)",,
303,205,Below 15 years,Female,,Lyari,Not often (few times in many years),Most accessible (public beach closest to urban Karachi),,
304,205dup,Below 15 years,Female,,Lyari,,"Relief (from climate, from stresses, etc)",,
305,205dup,Below 15 years,Female,,Lyari,, For Enjoyment,,
306,206,Below 15 years,Female,,Garden,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
307,207,Below 15 years,Female,,Garden,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
308,208,Below 15 years,Female,,Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
