Timestamp,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",How often do you go to Clifton beach?,How do you get to Clifton Beach most of the time?,What are your top motivations for going to Clifton Beach? You can select up to 3,Where do you access the beach from most of the time?,Which of the two statements do you agree with more?,Which one of the following statements apply to you?,What are your top priorities for Clifton Beach in the next year? You can select up to 3.,How do you feel regarding the caretaking and evolution of Clifton beach?,What would make Clifton Beach your favourite beach to go to? Please use this space for any feedback not covered by the survey,Is it important for Clifton Beach and the coast of Karachi to have a comprehensive plan across various ownership boundaries to guide its growth?,"In the last 12 months, have you done any of the following in Karachi? Please select all that apply",Do you trust Karachi's various administrative bodies and caretakers with your well-being?,Have you given feedback or participated in the design process of any public project in Karachi?,What is your most favourite place in Karachi?,"If you had unlimited funds, how would you change Clifton Beach?",Do you like going to the beach? Why if you do? Why not if you do not?,Do you feel safe while at the beach?,"If yes, then at what time of the day?","If not, why?",On what days do you prefer going to the beach?,At what time are you most likely to visit the beach?,How long do you spend at the beach?,How do you rate the following facilities? [Seating],How do you rate the following facilities? [Cleanliness],How do you rate the following facilities? [Shading Devices],How do you rate the following facilities? [Public Washrooms],How do you rate the following facilities? [Recreational Amenities],How do you rate the following facilities? [Lighting],How do you rate the following facilities? [Pathways/Walking Infrastructure],How do you rate the following facilities? [First Aid],What kind of company do you prefer when at the beach?,Have you ever made any new friends at the beach?
2021/03/09 6:08:37 am GMT-4,25 - 44 years,Male,"200,001 and above",Shah Faisal,Often (multiple times in a year),Private vehicle,"Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Negatively - I feel a sense of frustration and/or loss,Clifton beach shouldn't be under CBC,Important,"Visit conferences, seminars (outside of institutional requirements);Visit a park for a walks or leisure;Visit a religious building (mosque, church, temple, etc);Visit an outdoors bazaar",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 6:20:33 am GMT-4,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Not often - I prefer other beaches,Walking,"Leisure (walking, being with loved ones, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",Negatively - I feel a sense of frustration and/or loss,Draining shit into the sea right on the beach needs to stop ASAP.,Important,"Visit museums, galleries;Visit conferences, seminars (outside of institutional requirements);Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a religious building (mosque, church, temple, etc);Participate in a protest;Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 8:02:46 am GMT-4,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),Walking,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc);Relief (from climate, from stresses, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Negatively - I feel a sense of frustration and/or loss,To keep it as it is with little cleanliness.,Important,"Visit conferences, seminars (outside of institutional requirements);Visit a park for a walks or leisure;Participate in a protest",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 8:03:04 am GMT-4,25 - 44 years,Male,"200,001 and above",North Nazimabad Town,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc);Relief (from climate, from stresses, etc)",Seawall (between Captain Farhan Ali Shaheed Park and Emaar Crescent),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc)",Negatively - I feel a sense of frustration and/or loss,NULL,Important,NULL,No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/10 1:18:50 am GMT-4,25 - 44 years,Male,"200,001 and above",Outside Karachi,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,"Cleanliness is the most important. 
Lighting in the area 
Safe spots to sit and unwind especially for women, children, and transgenders. 
Patrolling of security on the beach for making visitors feel safe. Both male and female officers. 

Hawkers/vendors be provided a dedicated area so that they may not unnecessarily make visitors uncomfortable by sitting on the path. 

Suggestions:
Positive representation of the beach in media for building confidence of visitors. 

Involvement of corporations through CSR. They can get naming rights for certain portions against their spending. ",Important,"Visit monuments, historic sites;Visit a park for a walks or leisure;Visit a fair (books, food, crafts);Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a natural area (hills, lakes, mangroves, etc)",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/10 1:22:06 pm GMT-4,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,Not often - I prefer other beaches,Private vehicle,"Leisure (walking, being with loved ones, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Positively - There are several welcome developmental changes,"Cleanliness is the most important bit. The introduction of biking lane on sea view road, I believe, is a great initiative! More water sports activities, as available on the world renowned beaches - but it shouldn't come at a cost for people with their incomes linked to current beach activities",Important,"Visit museums, galleries;Visit monuments, historic sites;Visit cultural events on the street or at public squares;Visit a fair (books, food, crafts);Participate in a protest;Visit an indoors bazaar/mall;Visit a natural area (hills, lakes, mangroves, etc)",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/10 10:40:55 am GMT-4,15 - 24 years,Male,"75,001 - 100,000 rupees",Outside Karachi,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc)",Seawall (between Captain Farhan Ali Shaheed Park and Emaar Crescent),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",Negatively - I feel a sense of frustration and/or loss,"Accessibility, cleanliness and shared sense of community",Important,NULL,No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/10 12:14:09 pm GMT-4,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc);Relief (from climate, from stresses, etc)",Dolmen Mall,"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself but only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,"Cleanliness and safety. As the public itself is responsible for littering, fines and penalties may help curb this problem and also help generate revenue for the local authorities, which in turn can be reinvested to develop the infrastructure around the area. ",Important,"Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a religious building (mosque, church, temple, etc);Visit an indoors bazaar/mall",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/10 12:51:31 am GMT-4,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",Negatively - I feel a sense of frustration and/or loss,NULL,Important,"Visit museums, galleries;Visit monuments, historic sites;Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Attend sporting events as a spectator;Practice some sport of physical activity on a regular basis;Visit a religious building (mosque, church, temple, etc);Visit an indoors bazaar/mall",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/10 12:55:23 pm GMT-4,25 - 44 years,Female,"200,001 and above",Outside Karachi,Not often (few times in many years),Private vehicle,Most accessible (public beach closest to urban Karachi);Tourism,NULL,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Negatively - I feel a sense of frustration and/or loss,NULL,Important,NULL,No - I do not trust them,No - I do not wish to participate,,,,,,,,,,,,,,,,,,,
2021/03/10 2:23:57 am GMT-4,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,Frequently (multiple times a month),For-hire vehicle,"Leisure (walking, being with loved ones, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,"Clean beach and clean sea, surfing and ferry facilities with all the safety measures put in place.",Indifferent,"Visit conferences, seminars (outside of institutional requirements);Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Visit a fair (books, food, crafts);Visit a religious building (mosque, church, temple, etc);Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
